productid,productname,categoryid,price,stock,description,imageurl,createdat
15,Giường Ngủ Bọc Nỉ Hiện Đại,1,9500000.00,8,"Giường ngủ bọc nỉ cao cấp, phong cách hiện đại, phù hợp với mọi không gian.",GiuongNguBocNiHienDai.jpg,2025-03-21 07:11:50.344198
16,Sofa Góc L Shape,2,12500000.00,5,"Sofa góc L bọc nỉ nhập khẩu, thiết kế sang trọng và thoải mái.",SofaGocLShape.jpg,2025-03-21 07:11:50.344198
17,Sofa Da Cao Cấp 3 Chỗ,2,18500000.00,3,"Sofa da thật, kiểu dáng hiện đại, phù hợp với không gian phòng khách cao cấp.",SofaDaCaoCap3Cho.jpg,2025-03-21 07:11:50.344198
1,Sofa chữ L,2,12000000.00,10,"Sofa chữ L hiện đại, chất liệu vải cao cấp.",SoFaChuL.jfif,2025-01-14 18:59:44.920396
2,Bàn làm việc gỗ sồi,3,3000000.00,15,"Bàn làm việc gỗ sồi, kiểu dáng thanh lịch.",BanLamViecGoSoi.jpg,2025-01-14 18:59:44.920396
5,Giường ngủ king size,1,15000000.00,8,Giường ngủ king size với khung gỗ chắc chắn.,GiuongNguKinhSize.jpg,2025-01-14 18:59:44.920396
13,Bàn gaming ,3,12000000.00,10,"Bàn gaming chất liệu hiện đại, vải mềm",BanGaming.png,2025-01-14 18:59:44.920396
3,Ghế văn phòng lưới,3,1500000.00,20,Ghế văn phòng lưới thoáng khí.,GheVanPhongLuoi.jpg,2025-01-14 18:59:44.920396
6,Đèn bàn LED cảm ứng,5,500000.00,50,Đèn bàn LED cảm ứng tiết kiệm điện.,DenBanLedCamUng.jpg,2025-01-14 18:59:44.920396
7,Thảm trải sàn họa tiết,5,2000000.00,12,Thảm trải sàn họa tiết phong cách Bắc Âu.,ThamtraiSanhoaTiet.jfif,2025-01-14 18:59:44.920396
9,Rèm cửa voan cỡ lớn ,5,1200000.00,10,"Rèm cửa voan nhẹ nhàng, tinh tế.",RemCuaVoanCoLon.jfif,2025-01-14 18:59:44.920396
14,Giường Gỗ Sồi Tự Nhiên,1,7500000.00,10,"Giường ngủ làm từ gỗ sồi tự nhiên, chắc chắn và bền đẹp.",GiuongGoSoiTuNhien.jpg,2025-03-21 07:11:50.344198
18,Bàn Gaming RGB Kèm Kệ,3,4500000.00,12,"Bàn gaming chuyên dụng với hệ thống đèn LED RGB, thiết kế chắc chắn.",BanGamingRGBKemKe.jpg,2025-03-21 07:11:50.344198
19,Bàn Máy Tính Gỗ Công Nghiệp,3,3200000.00,15,"Bàn máy tính làm từ gỗ công nghiệp MDF chống ẩm, có ngăn kéo tiện lợi.",BanMayTinhGoCongNghiep.jpg,2025-03-21 07:11:50.344198
20,Kệ Treo Tường Gỗ Xương Cá,4,1200000.00,20,"Kệ treo tường phong cách xương cá, giúp không gian trở nên gọn gàng.",KeTreoTuongGo.jpg,2025-03-21 07:11:50.344198
21,Kệ Trang Trí Treo Tường 3 Tầng,4,1800000.00,18,"Kệ treo tường 3 tầng hiện đại, thích hợp để trang trí sách và đồ lưu niệm.",KeTrangtriTreoTuong3Tang.jfif,2025-03-21 07:11:50.344198
23,Đèn LED Kẹp Bàn Điều Chỉnh Ánh Sáng,5,650000.00,30,"Đèn LED kẹp bàn với 3 chế độ ánh sáng, phù hợp cho làm việc và học tập.",DenLedKepBan.jpg,2025-03-21 07:11:50.344198
8,Kệ sách để bàn,6,1800000.00,7,Kệ sách với thiết kế gỗ tự nhiên.,KeSachDeBan.jfif,2025-01-14 18:59:44.920396
22,Giá Đỡ Màn Hình Gỗ,6,900000.00,25,"Giá đỡ màn hình bằng gỗ giúp nâng cao màn hình, giảm đau cổ khi làm việc.",GiaDoManHinhGo.jfif,2025-03-21 07:11:50.344198
